,first_name,last_name,gender,age,type,senate_class,party,twitter,tweet_id,tweet_text,tweet_retweet_count,tweet_favorite_count,IBM_text,Sadness,Joy,Tentative,Analytical,Confident,Fear,Anger
0,Maria,Cantwell,F,59,sen,1.0,Democrat,SenatorCantwell,991104915807367168,The point of air tankers is to be able to catch #wildfires before they can grow into expensive incidents. I am concerned about a policy that would leave these air tankers unable to fly when they are ordered--for up to 48 hours.----https://t.co/QKEWFQPbpQ,23,29,The point of air tankers is to be able to catch #wildfires before they can grow into expensive incidents.,,,,,,,
1,Maria,Cantwell,F,59,sen,1.0,Democrat,SenatorCantwell,991074724208939014,"After $65+ billion of damage from the Deepwater Horizon tragedy, new protections were put in place to ensure this type of disaster never happened again. @Interior is trying to ignore those protections, creating a liability for taxpayers by ignoring safety.--https://t.co/jomzSR75wl",51,40,"After $65+ billion of damage from the Deepwater Horizon tragedy, new protections were put in place to ensure this type of disaster never happened again.",0.787684,,,,,,
2,Maria,Cantwell,F,59,sen,1.0,Democrat,SenatorCantwell,991053024826216448,It was great to talk #NetNeutrality with @mnickelsburg on the @GeekWire podcast this afternoon. Net neutrality impacts all of us and we have to keep up the fight to protect it. https://t.co/GrU73xPqY8,26,62,It was great to talk #NetNeutrality with @mnickelsburg on the @GeekWire podcast this afternoon.,,0.811866,,,,,
3,Maria,Cantwell,F,59,sen,1.0,Democrat,SenatorCantwell,991044437110415360,I'm so proud of these students from Odle Middle School in @BellevueWA for winning the 2018 National Science Bowl today! Our future is bright with these students as the next generation of science leaders.  #NSB2018 https://t.co/G89fFY9KNK,16,77,I'm so proud of these students from Odle Middle School in @BellevueWA for winning the 2018 National Science Bowl today!,,0.836277,,,,,
4,Maria,Cantwell,F,59,sen,1.0,Democrat,SenatorCantwell,990743282719252480,"The North Cascades are calling! Just a couple hours from Seattle is the stunning alpine landscape of @NCascadesNPS. Go see the glaciers, jagged peaks, and cascading waters of this ecological treasure during #NationalParkWeek. #FindYourPark https://t.co/ADk6t7v6RL",19,81,The North Cascades are calling!,,,,,,,
5,Maria,Cantwell,F,59,sen,1.0,Democrat,SenatorCantwell,990712832739172352,"#DidYouKnow: With over 330 million visitors annually, the @NatlParkService is a huge outdoor economy. Visitors are responsible for $35 billion in economic output and they spend over $18 billion each year in national gateway communities. #NationalParkWeek #FindYourPark",36,98,"#DidYouKnow: With over 330 million visitors annually, the @NatlParkService is a huge outdoor economy.",,,,,,,
6,Maria,Cantwell,F,59,sen,1.0,Democrat,SenatorCantwell,990682633322590208,"I hope that Congress at large can discuss why investment inside the #NationalParks is a national priority, and what we could be doing to increase it. #NationalParkWeek #FindYourPark",18,62,"I hope that Congress at large can discuss why investment inside the #NationalParks is a national priority, and what we could be doing to increase it.",,,0.716301,,,,
7,Maria,Cantwell,F,59,sen,1.0,Democrat,SenatorCantwell,990652182906179584,"Go explore #LakeChelan National Recreation Area during #NationalParkWeek. This beautiful landscape rests in the Cascades Range and is home to one of America's deepest lakes. It's a great spot to boat, fish, and camp along the lakefront. #FindYourPark https://t.co/OdRNV1pA3C",13,43,Go explore #LakeChelan National Recreation Area during #NationalParkWeek.,,,,0.920855,,,
8,Maria,Cantwell,F,59,sen,1.0,Democrat,SenatorCantwell,990395245031374848,Last year @MountRainierNPS had nearly 1.4 million visitors who spent over $50 million in our gateway communities. They generated an economic benefit of $65 million. #NationalParkWeek #FindYourPark,24,83,Last year @MountRainierNPS had nearly 1.4 million visitors who spent over $50 million in our gateway communities.,0.51456,,0.5538,,,,
9,Maria,Cantwell,F,59,sen,1.0,Democrat,SenatorCantwell,990364788386512896,"You've seen it from a distance, now go spend #NationalParkWeek exploring it up close. @MountRainierNPS stands as an icon in the Washington landscape and provides unmatched wilderness hiking, camping, and climbing. #FindYourPark https://t.co/ni2FOyPhGL",22,57,"You've seen it from a distance, now go spend #NationalParkWeek exploring it up close.",,,,0.801827,,,
10,Maria,Cantwell,F,59,sen,1.0,Democrat,SenatorCantwell,990334338519699457,"Thank you for your thoughtful and inquisitive questions, @THSBears. I always look forward to meeting students from our state. https://t.co/bDx2BiGSO4",4,19,"Thank you for your thoughtful and inquisitive questions, @THSBears.",,,,0.901894,,,
11,Maria,Cantwell,F,59,sen,1.0,Democrat,SenatorCantwell,990303887289606144,I joined a bipartisan group of 50 senators in sending a letter to @DeptofDefense Secretary James Mattis opposing the Trump Administration's ban on transgender service members &amp; decrying the secretary's implementation recommendations for the ban.,38,150,I joined a bipartisan group of 50 senators in sending a letter to @DeptofDefense Secretary James Mattis opposing the Trump Administration's ban on transgender service members &amp; decrying the secretary's implementation recommendations for the ban..,,,,0.631014,,,
12,Maria,Cantwell,F,59,sen,1.0,Democrat,SenatorCantwell,990273688753729541,We need to make smart investments in our #NationalParks and we need to make sure that we are enhancing the visitor experience. #NationalParkWeek #FindYourPark,30,84,We need to make smart investments in our #NationalParks and we need to make sure that we are enhancing the visitor experience.,,,,,0.579436,,
13,Maria,Cantwell,F,59,sen,1.0,Democrat,SenatorCantwell,990047953443225600,"Since 2015, @EximBankUS has not had a fully operational board able to review &amp; approve the types of deals that would expand U.S. exports. Foreign export credit agencies are filling the void, meaning more U.S. jobs will be sent overseas and U.S. workers &amp; companies disadvantaged.",19,15,"Since 2015, @EximBankUS has not had a fully operational board able to review &amp; approve the types of deals that would expand U.S. exports.",,,,,,,
