score,tone_name,doc_id
0.090019,Anger,1
0.14011,Disgust,1
0.054531,Fear,1
0.638617,Joy,1
0.482668,Sadness,1
0.079945,Analytical,1
0.0,Confident,1
0.031305,Tentative,1
0.404867,Openness,1
0.889561,Conscientiousness,1
0.685539,Extraversion,1
0.808735,Agreeableness,1
0.700441,Emotional Range,1
0.083637,Anger,2
0.095607,Disgust,2
0.082443,Fear,2
0.615792,Joy,2
0.529945,Sadness,2
0.246938,Analytical,2
0.0,Confident,2
0.244361,Tentative,2
0.311866,Openness,2
0.895794,Conscientiousness,2
0.436295,Extraversion,2
0.801601,Agreeableness,2
0.729851,Emotional Range,2
0.075684,Anger,3
0.554098,Disgust,3
0.100359,Fear,3
0.628524,Joy,3
0.574181,Sadness,3
0.0,Analytical,3
0.0,Confident,3
0.319764,Tentative,3
0.220604,Openness,3
0.980272,Conscientiousness,3
0.672952,Extraversion,3
0.978936,Agreeableness,3
0.767502,Emotional Range,3
0.143248,Anger,4
0.423858,Disgust,4
0.090447,Fear,4
0.49568,Joy,4
0.542774,Sadness,4
0.389595,Analytical,4
0.55957,Confident,4
0.0,Tentative,4
0.34105,Openness,4
0.987452,Conscientiousness,4
0.669295,Extraversion,4
0.921621,Agreeableness,4
0.863503,Emotional Range,4
0.080699,Anger,5
0.186131,Disgust,5
0.079419,Fear,5
0.616669,Joy,5
0.15805,Sadness,5
0.001845,Analytical,5
0.299093,Confident,5
0.0,Tentative,5
0.223838,Openness,5
0.816592,Conscientiousness,5
0.69868,Extraversion,5
0.888008,Agreeableness,5
0.649415,Emotional Range,5
0.058116,Anger,6
0.154201,Disgust,6
0.065159,Fear,6
0.670817,Joy,6
0.140539,Sadness,6
0.0,Analytical,6
0.0,Confident,6
0.014412,Tentative,6
0.208993,Openness,6
0.905911,Conscientiousness,6
0.864894,Extraversion,6
0.946023,Agreeableness,6
0.822902,Emotional Range,6
0.087595,Anger,7
0.504504,Disgust,7
0.102934,Fear,7
0.643013,Joy,7
0.182109,Sadness,7
0.0,Analytical,7
0.0,Confident,7
0.028447,Tentative,7
